2017-04-04T14:47:25.037394 tid3148 [IFO,Core] Finished initializing 18 devices
2017-04-04T14:47:25.037394 tid3148 [IFO,Core] Default camera set to Camera
2017-04-04T14:47:25.037394 tid3148 [IFO,Core] Default shutter set to Shutter
2017-04-04T14:47:25.037394 tid3148 [IFO,Core] Default stage set to Z
2017-04-04T14:47:25.082398 tid3148 [IFO,Core] Did update system state cache
2017-04-04T14:47:25.108401 tid3148 [IFO,App] Updating GUI; config pad = true; from cache = false
2017-04-04T14:47:25.109401 tid3148 [IFO,Core] Default autofocus set to Autofocus
2017-04-04T14:47:25.139404 tid3148 [IFO,Core] Did update system state cache
2017-04-04T14:47:25.139404 tid3148 [IFO,App] Finished updating GUI
2017-04-04T14:47:25.140404 tid3148 [IFO,App] Startup script file (C:\Users\cjb33\Dropbox\Johan\Code\JavaCode\MacsGUI\MMStartup.bsh) not present.
2017-04-04T14:47:25.171407 tid3148 [IFO,Core] Channel group set to Channel
2017-04-04T14:47:25.225413 tid3148 [IFO,Core] Channel group set to Channel
2017-04-04T14:47:25.225413 tid3148 [IFO,Core] Default autofocus set to Autofocus
2017-04-04T14:47:25.229413 tid3148 [IFO,Core] Channel group set to Channel
2017-04-04T14:47:25.229413 tid3148 [IFO,Core] Default autofocus set to Autofocus
2017-04-04T14:47:25.232413 tid3148 [IFO,App] Rebuilding config group table
2017-04-04T14:47:25.233413 tid3148 [IFO,App] Finished rebuilding config group table
2017-04-04T14:47:36.634553 tid7552 [IFO,Core] Channel group set to Channel
2017-04-04T14:47:36.634553 tid7552 [IFO,Core] Default autofocus set to Autofocus
2017-04-04T14:47:37.330623 tid7552 [IFO,Core] Did unload all devices
2017-04-04T14:47:37.330623 tid7552 [IFO,Core] System reset
2017-04-04T14:47:37.330623 tid7552 [IFO,Core] Core session ended
